Lineage, Name, decoration
Outgroup, HCoV-EMC, none
Lineage 4, Ra4991 Yunnan, bold
Lineage4, Rspp7907 Yunnan, bold
Lineage4, Rspp7921 Yunnan, bold
Lineage4, Ra7909 Yunnan, bold
Lineage4, Rspp7952 Yunnan, bold
Lineage4, Rspp7896 Yunnan, bold
Lineage4, Rspp7931 Yunnan, bold
Lineage4, Rspp7905 Yunnan, bold
Lineage4, Rspp7924 Yunnan, bold
Lineage1-outgroup, BM48-31/Bulgaria, non
Lineage1, MLHUC35/Yunnan, none
Lineage1, LYRa11/Yunnan, none
Lineage1, R14092/Yunnnan, none
Lineage1, Rp3/Guangxi, none
Lineage1, Rs672/2006/Guizhou, none
Lineage1, Anlong-111/Guizhou, none
Lineage1, Anlong-97/Guizhou, none
Lineage1, Anlong-300/Guizhou, none
Lineage1, Anlong-103/Guizhou, none
Lineage1, Anlong-112/Guizhou, none
Lineage1, Rs4231/Yunnan, none
Lineage1, YN2013/Yunnan, none
Lineage1, Rs9401/Yunnan, none
Lineage1, Rs7327/Yunnan, none
Lineage1, As6526/Yunnan, none
Lineage1, Rs160665 Yunnan, bold
Lineage1, Rs6266 Yunnan, bold
Lineage1, Rs4081/Tunnan, none
Lineage1, WIV16/Yunnan, none
Lineage1, Rs4874/Yunnan, none
Lineage1, Rm2841 Chongqing, bold
Lineage1, Rs4237/Yunnan, none
Lineage1, Rs4247/Yunnan, none
Lineage1, YNLF 34C/Yunnan, none
Lineage1, Rf5511 Yunnan, bold
Lineage1, TOR2, none
Lineage1, SZ3, none
Lineage1, BJ01, none
Lineage1, GZ02, none
Lineage1, Rs5725 Yunnan, bold
Lineage1, RsSHC014/Yunnan, none
Lineage1, Rs4084/Yunnan, none
Lineage1, Rs4255/Yunnan, none
Lineage1, Rs6255 Yunnan, bold
Lineage1, WIV1/Yunnan, none
Lineage1, Rs3367/Yunnan, none
Lineage1, Rs141455 Guangxi, bold
Lineage1, Rs141456 Guangxi, bold
Lineage1, Rs141567 Guangxi, bold
Lineage1, GX2013/Guangxi, none
Lineage1, Rs13479 Guangxi, bold
Lineage1, Rs13488 Guangxi, bold
Lineage1, Rs13484 Guangxi, bold
Lineage1, Rs141469 Guizhou, bold
Lineage1, Rp140346 Guangdong, bold
Lineage1, Rp8794 Guangdong, bold
Lineage1, Rs8561 Guangdong, bold
Lineage1, Rs8586 Guangdong, bold
Lineage1, Rs8548 Guangdong, bold
Lineage1, Rs8572 Guangdong, bold
Lineage1, Rs13973 Guangdong, bold
Lineage1, Rs140391 Guangdong, bold
Lineage1, Rs161419 Guangdong, bold
Lineage1, Rs161465 Guangdong, bold
Lineage2, Rs13589 Guangdong, bold
Lineage2, Rs8460 Guangdong, bold
Lineage2, HKU3-12/Hong Kong, none
Lineage2, Rs141341 Guangdong, bold
Lineage2, Rs8363 Guangdong, bold
Lineage2, Rs141369 Guangdong, bold
Lineage2, HKU3-7/Guangdong, none
Lineage2, HKU3-8/Guangdong, none
Lineage2, HKU3-1/Hong Kong, none
Lineage2, HKU3-3/Hong Kong, none
Lineage2, HKU3-9/Hong Kong, none
Lineage2, HKU3-11/Hong Kong, none
Lineage2, HKU3-5/Hong Kong, none
