accession	strain	product
0	MH615800.1	Rspp7896_Yunnan	ORF8c
1	MH615801.1	Rspp7905_Yunnan	ORF8c
2	MH615802.1	Rspp7907_Yunnan	ORF8c
3	MH615803.1	Ra7909_Yunnan	ORF8c
4	MH615804.1	Rspp7921_Yunnan	ORF8c
5	MH615805.1	Rspp7924_Yunnan	ORF8c
6	MH615806.1	Rspp7931_Yunnan	ORF8c
7	MH615807.1	Rspp7952_Yunnan	ORF8c
8	MH615808.1	Rs151334_Guizhou	ORF8b
9	MH615809.1	Fars 1M	Unknown
10	MH615810.1	Unknown	NS7b protein
11	MH615811.1	Unknown	GSEFLamide precursor isoform 1
12	MH615812.1	Unknown	GSEFLamide precursor isoform 2
13	MH615813.1	Unknown	GSEFLamide precursor isoform 3
14	MH615814.1	Unknown	AlkB
15	MH615815.1	Unknown	AlkB
16	MH615816.1	Unknown	Unknown
17	MH615817.1	Unknown	Unknown
18	MH615818.1	Unknown	Unknown
19	MH615819.1	Unknown	Unknown
20	MH615820.1	Unknown	DExD/H box RNA helicase 44
21	MH615821.1	Unknown	DExD/H box RNA helicase 20
22	MH615822.1	Unknown	putative helicase SEN1
23	MH615823.1	Unknown	DExD/H box RNA helicase 24
24	MH615824.1	Unknown	DExD/H box RNA helicase 40
25	MH615825.1	Unknown	DExD/H box RNA helicase 41
26	MH615826.1	Unknown	helicase SRCAP isoform X1
27	MH615827.1	Unknown	ATP-dependent DNA helicase 2 subunit 1
28	MH615828.1	Unknown	DExD/H box RNA helicase 7
29	MH615829.1	Unknown	DExD/H box RNA helicase 45
30	MH615830.1	Unknown	DNA repair helicase rad3
31	MH615831.1	Unknown	DExD/H box RNA helicase 28
32	MH615832.1	Unknown	DExD/H box RNA helicase 15
33	MH615833.1	Unknown	ATP-dependent helicase NAM7
34	MH615834.1	Unknown	DNA repair helicase rad25 family protein
35	MH615835.1	Unknown	ribosomal protein L2
36	MH615836.1	Unknown	nef protein
37	MH615837.1	Unknown	polyprotein
38	MH615838.1	A/chicken/Egypt/YA 22/2011	hemagglutinin
39	MH615839.1	Rs5725_Yunnan	ORF8
40	MH615840.1	Rf5511_Yunnan	ORF8
41	MH615841.1	Rs6255_Yunnan	ORF8
42	MH615842.1	Rs160665_Yunnan	ORF8
43	MH615843.1	RaTG13_Yunnan	ORF8
44	MH615844.1	Rs13479_Guangxi	ORF8
45	MH615845.1	Rs13484_Guangxi	ORF8
46	MH615846.1	Rs13488_Guangxi	ORF8
47	MH615847.1	Rs141455_Guangxi	ORF8
48	MH615848.1	Rs141567_Guangxi	ORF8
49	MH615849.1	Rs151262_Guizhou	ORF8
50	MH615850.1	Rs151388_Guizhou	ORF8
